ADDRESS
6110 N HIGHWAY 89
3111 W SHANNON DR
1380 N ROCKRIDGE RD
2200 N GEMINI DR
3101 E LEWIS DR
5450 N HIGHWAY 89
5400 E EMPIRE AVE
4355 E INDUSTRIAL DR
1937 N MARION DR
1531 N KUTCH DR
1525 W PALMER AVE
2850 N IZABEL ST
2842 N IZABEL ST
2848 N IZABEL ST
2846 N IZABEL ST
2844 N IZABEL ST
1500 N KITTREDGE RD
2500 N FIRST ST
3007 1/2 E LEWIS DR
2633 E SEVENTH AVE
2320 N FOURTH ST
2312 N FOURTH ST
2621 E SEVENTH AVE
2310 N FOURTH ST
2615 E SEVENTH AVE
2925 N FAIRVIEW DR
2851 N FAIRVIEW DR
2299 N OAKMONT DR
2303 N OAKMONT DR
2301 N OAKMONT DR
2307 N OAKMONT DR
2309 N OAKMONT DR
2311 N OAKMONT DR
2313 N OAKMONT DR
2315 N OAKMONT DR
2317 N OAKMONT DR
2323 N OAKMONT DR
2319 N OAKMONT DR
2325 N OAKMONT DR
2321 N OAKMONT DR
2327 N OAKMONT DR
2329 N OAKMONT DR
6030 E LAUREL LP
2331 N OAKMONT DR
2333 N OAKMONT DR
2335 N OAKMONT DR
2355 N OAKMONT DR
2347 N OAKMONT DR
2337 N OAKMONT DR
2401 N CAREFREE CIR
2349 N OAKMONT DR
2345 N OAKMONT DR
2339 N OAKMONT DR
2353 N OAKMONT DR
955 E PONDEROSA PKWY
2341 N OAKMONT DR
2357 N OAKMONT DR
2351 N OAKMONT DR
2385 N OAKMONT DR
2359 N OAKMONT DR
2069 N COUNTRY CLUB DR
2361 N OAKMONT DR
2065 N COUNTRY CLUB DR
2363 N OAKMONT DR
2061 N COUNTRY CLUB DR
2057 N COUNTRY CLUB DR
1400 W MARS HILL RD
2383 N OAKMONT DR
2053 N COUNTRY CLUB DR
2365 N OAKMONT DR
2049 N COUNTRY CLUB DR
2381 N OAKMONT DR
2371 N OAKMONT DR
2367 N OAKMONT DR
2045 N COUNTRY CLUB DR
2373 N OAKMONT DR
2369 N OAKMONT DR
2379 N OAKMONT DR
2041 N COUNTRY CLUB DR
2037 N COUNTRY CLUB DR
2033 N COUNTRY CLUB DR
2029 N COUNTRY CLUB DR
2375 N OAKMONT DR
2025 N COUNTRY CLUB DR
2377 N OAKMONT DR
2021 N COUNTRY CLUB DR
2013 N COUNTRY CLUB DR
2071 N COUNTRY CLUB DR
2009 N COUNTRY CLUB DR
2005 N COUNTRY CLUB DR
2067 N COUNTRY CLUB DR
2063 N COUNTRY CLUB DR
2001 N COUNTRY CLUB DR
2059 N COUNTRY CLUB DR
2055 N COUNTRY CLUB DR
2051 N COUNTRY CLUB DR
2047 N COUNTRY CLUB DR
2015 N COUNTRY CLUB DR
2043 N COUNTRY CLUB DR
2019 N COUNTRY CLUB DR
2023 N COUNTRY CLUB DR
2039 N COUNTRY CLUB DR
2027 N COUNTRY CLUB DR
2035 N COUNTRY CLUB DR
2031 N COUNTRY CLUB DR
3909 E SUMMER RUN DR
1950 N SPENCER CIR
1940 N SPENCER CIR
10 S FLORENCE ST
511 W LOWER COCONINO AVE
1200 W LOWER COCONINO AVE
5 1/2 W COTTAGE AVE
520 E BRANNEN AVE
1775 N KITTREDGE RD
202 S AGASSIZ ST
2201 E HUNTINGTON DR
633 E BRANNEN AVE
202 E BRANNEN AVE
205 S AGASSIZ ST
4005 E BUTLER AVE
507 E BRANNEN AVE
2 S COLORADO ST
317 S SAN FRANCISCO ST
1650 W SHERRIE DR
3501 E BUTLER AVE
1411 S MILTON RD
1435 S MILTON RD
1431 S MILTON RD
1491 S MILTON RD
6 S CALLE REPOSA
1501 S MILTON RD
1509 S MILTON RD
1515 S MILTON RD
1535 S MILTON RD
882 N HULET LN
2500 W KILTIE LN
3334 S DEBBIE ST
3150 S WALKUP DR
3300 S PIMA DR
3630 S WALAPAI DR
6619 S CESSNA CIR
6628 S PIPER LN
6629 S CESSNA CIR
2940 N BOLDT DR
2136 N FOURTH ST
2130 N FOURTH ST
2126 N FOURTH ST
2122 N FOURTH ST
2114 N FOURTH ST
2110 N FOURTH ST
2102 N FOURTH ST
2100 N FOURTH ST
2120 N FOURTH ST
2098 N FOURTH ST
2028 N FOURTH ST
2133 N WALGREENS ST
2801 N GARRETT LN
2650 W SHAMRELL BLVD
1500 W PALMER AVE
101 E BUTLER AVE
2245 E C O BAR TRL
5345 S J DIAMOND RD
1356 E CANYON VIEW DR
3795 S YAQUI DR
6230 E WILLOW LP
6209 E WILLOW LP
2350 N PLATEAU DR
2330 N PLATEAU DR
2303 N PLATEAU DR
4505 E SPRING MEADOWS CIR
1605 N KITTREDGE RD
2509 S HIGHLAND MESA RD
2473 S HIGHLAND MESA RD
2112 S MAJESTIC RD
1804 W HEAVENLY CT
1969 W UNIVERSITY AVE
1987 W UNIVERSITY AVE
1988 W UNIVERSITY AVE
2006 W UNIVERSITY AVE
752 N SWITZER CANYON DR
2414 N WALNUT RIDGE LN
4488 E DREAMY LN
905 W LONE STAR TRL
2095 W FRESH AIRE ST
